,insc,cn2,ch2,lc2,rd2,cn,ch,lc,mt,rd
1246,866d7784ed1380003929da44f965aef9339702f9,601.1,615.1,474.7,660,478.1,594.4,583.4,491.1,440
1247,1b360e9099f37b95fd6fcf5fbcae9040dd2ec08c,512.7,530.7,475.3,520,565.1,523.2,500.7,729.2,780
1250,f66562b958e6349449b87fea0a01fab214f6ec8b,388.1,383.1,370.4,440,567.5,667.5,587.9,657.5,660
1251,beefc7a89a2d9882e5983d80e356f8b7c23994f7,499.2,567.9,565.4,480,448.5,484,499.7,404.2,480
1252,82d7709a8445664e93038482fbfee478e8a40273,458.7,568.8,579.1,520,547.3,578.6,606.8,573.2,600
1253,e3929d32c498f8e45ae326017cf7c60308880d94,594.5,661.4,592.6,840,477.8,556.4,503.7,355.4,460
1254,9da35674034a0a1373298436fdfb2f1d840a6da2,470.3,442.6,478.1,420,490.8,484.1,472.6,432.6,500
1256,0c48aad5141a6d61b2669d5c06360ecb9e8cba72,375.3,472.7,500.1,460,385.2,468.6,524.1,396.1,400
1259,d426e04457c4fc8b4068a7da6805a7ab8e07224d,462.4,522,429.7,0,464.9,579.5,576.7,549.4,480
1261,f5c04dc290d6706af8214800e25be19129dc9f7b,447.4,484.8,416.7,440,404.5,511.1,482.9,495.1,480
1262,cd20ace0b8fb57cecb028764042f1c7851d39507,458.5,382,395,460,469.1,571.5,521.1,479.2,460
1263,eb5f0ef501357740c2ac626bf1ce233475aa47af,393.2,584.8,514.8,620,366.3,445.3,471.2,469.5,480
1265,383f9cdf1c3d46a2cd312345792cf74f15e4b746,511.7,649.1,604.2,580,535.3,538.4,570,413.2,560
1267,fe23ba819708fa369addcf9e6dcc7657cab3a96a,392.2,564.8,542,620,446.7,510.4,592.7,509.1,400
1268,ff9b660a4b5cec9244456ee346b17eaa0e891c5c,614.3,667.4,654.6,520,588.1,620.1,557.6,673.5,640
1271,b0e8139fa43e8c764878dcd69f3548d74353d838,491.6,518,502.1,420,614.4,616.6,641.1,666.1,540
1273,9284a89fdbdd88fe9877dad42e9984e7e2484e20,530.2,520,460.1,360,435.9,511.4,432.1,408.3,280
1274,f4c4cee74ce9ede036564ef9b80aba39c768e126,396.5,392.3,431.7,420,406.6,441.8,492.4,449.4,360
1276,b8fb9eb73a9f599896d49678bdab39e07479b2ba,384.2,518.1,455.3,380,432.2,461.3,401.1,485.1,400
1278,bee771ff249f080561ad1b67c3a0050a3ab89b32,472.9,562.1,527.4,600,458.1,518.4,541.9,669.1,560
1280,809ec35d37a181001a42e6340709505e78a2c577,429.6,521,370.7,680,518.7,564.7,556.9,446.7,660
1281,67da0b704f0c6cc6037509ab516aaaf58fd950b0,485.3,553.4,444.2,560,555.2,550.6,590.1,361.6,580
1282,53a43fbdde0c7189e80b0eb49689cc0c076a78a4,398.7,520.6,443.5,580,624.6,667.4,639.2,684.8,820
1284,60290f6053f0e9a625bc9d2f699ca507e8985292,406.1,440.8,428.2,580,525,589.6,589.4,425.3,640
1285,1ac7d9f17dad3ee282009fcb7fd7d2f01e2d37e7,451.4,569.8,493.2,600,396.6,518.7,431.2,389.8,500
1289,4dff8608a5941c894c2f71aae910da722b5b2b2d,447.9,440.7,451.4,540,402.9,633.2,600.5,457.2,500
1290,67833093fd0fde740199378acf55c33de750736f,463.3,535.8,473.9,400,447.8,534.4,376.7,382.7,540
1291,23c6b7ea47102c0ba28ac805a03304d515494ecd,504.1,601.3,477.6,500,440.5,537.7,581.2,542.9,560
1293,1cd22b8d1afa3cb766a863c1bd25c5f2e724fd17,440.5,456.6,450.9,500,438.7,471.3,521.8,368,460
1294,68b155dada9a40aafaaa7714e063a432dd8275d6,381.9,467,439,380,452,499.2,510.2,582.2,460
1296,4b324a03dd0297c66f2f390ab58e6c3c3b6fae16,600.7,608.6,639.1,760,593.8,616.3,615.1,643.6,540
1297,04df4468d9913083f7984969a8b2892f210b4193,423.8,449.1,444.3,320,392.3,515.8,365.8,444.1,520
1298,cc2a0d12abf9b0917d668bec85e91fafddac7c45,563.9,584.5,529.3,560,392.9,447.6,450.4,468.9,600
1300,e9b1849607e9d8ab47b7fc39be369805313dda59,373.3,399.2,450.4,480,453.9,503.2,555.1,429.2,240
1305,95a22a438d6ae5aae37830d6a7fc74e75fc981af,487.2,498.2,505.1,580,402.7,510.8,387.6,461.7,440
1306,27584421ac81833fb4ccf564a6fcdd4ac2b698be,550,584.2,528.5,580,444.8,362.7,466.5,391.6,380
1307,e720fd525ae844a709b93fdb28f7914c48d8160d,515,565.9,569.6,780,437.4,576.6,510,457.3,440
1308,24fa503c4c1225e71a37fe92b354c626e099cbb6,625.3,658.2,604.3,360,447.9,620.1,602.6,386.4,880
1309,6af857c10637e8e60ee8723080d306cf45181a2f,589.5,653.4,646.3,680,404.7,459.4,417.2,395.3,0
1311,32901dff0d1bb61b99d0a34d55ef3c5c6b7bc30e,368.7,519.1,558.1,600,467.2,575.8,569,611.4,460
1314,ddb9f7681e4b80dfff9ee296444d1294f55dd13c,432.1,527.5,544.2,520,439.6,390,493.9,378.4,440
1315,3a9507cc35b592af5172dd8ebb28cc89827e3f68,482,401.2,420,340,487.7,497.6,525.2,364.9,440
1317,551f1885fa0f60bb05f612a39cafe53130ac961e,416.8,447.5,386.1,520,464.7,581.8,480.6,649.6,720
1319,cc3750ac71c85cc688659b3eb20dc112738eb623,636.4,666.6,658.1,720,418.2,425.9,487.9,462.1,460
1320,04239f2bf72cdc7e72a1c7a90711df6fc5f26da5,440.8,493.1,507.4,420,420.4,436,434.7,388.7,0
1321,9c87e30e40e82eba487a7fb0b594eb881db74389,410,352.7,452.5,380,371.5,513.8,438.2,373.7,480
1323,eb13a10d11465081642b5ae93ad1867dcd2d3b1e,419.3,444.8,499.1,460,507.9,522.2,538.7,565.7,700
1325,16f6526457cc7d849c2a9829efa0e021c78353f0,466.6,600.8,608.9,520,633.1,683.5,578.8,800.1,740
1326,74b0cbfbe74747c9780b564db3e624d3c19878a2,368.1,540.9,497.1,480,425.2,498.9,363.5,396.4,580
1327,fc67a6d22a9d1beadaf42cd714789d5749800b19,456,382.8,440.3,280,433.4,537.4,483.5,446.9,540
1328,d0c7acbad13d292e637f23633da232e29186e20c,478.4,520.4,462.2,420,429.7,511.7,603.5,532.3,680
1329,b921a4ac834cc1109c06e7c1de9439c0daf16e06,545.8,548.1,536.9,540,408.1,584.3,537.5,425.5,520
1330,e31ee5529458da77ca3239ca06f64465e737e454,390.7,550.6,477.8,560,462.6,433.7,431.4,340.9,480
1332,5c3b77931dd97f17e14c3bbf205173d36f09c6f0,441.4,509.9,498,400,639.9,651.8,620.4,798.4,840
1333,07b1e3e8c1f33a4b6095ba6b1d17a147082a388f,549.5,600.1,510.5,740,374.5,531.3,522.9,545.8,400
1335,05a25962f9f30d8544842ec3d79244e99d11017b,645.1,603.6,617.1,640,384.7,398.4,482,381.9,0
1336,458f801c533d802e3655e9bbced52ee22826f197,386.3,578.7,411.3,760,438.6,562.6,515.3,516.4,0
1337,03e6a7ed0af5b24ea57bb1bb6f37b17047637356,397.2,541.3,484.3,500,397.4,424.6,430.9,409,480
1338,293ffd1359a352518d31928214161b644128851e,589.5,475.7,567.4,560,621.9,609.2,551.9,688.7,800
1339,95068b8d72613d8b51b22243060dd50a498e4dbf,492.2,535.7,566.7,560,535.6,486.2,536.4,373.1,580
1340,ab27d902b2db2bcaf5392dbc510e7e2e361d0e0d,408.6,394.3,433.5,520,401.4,408.5,445.6,395.5,540
1341,bf222e2161bef0e4bbbdd1e6afd8850d926aeea4,425.6,557,547,520,429.7,602.7,579.7,525.5,560
1342,758e005c28f680380e79d7935f29ce42c3b49dfe,552.6,562.4,527.9,580,437.7,547.2,521.8,537.1,380
1344,e3fa80e14d38fffa4d278d65edd2c32b24019a9d,449.4,551,562.4,520,409.7,557.7,570.6,398.5,520
1346,52a23c1eb5ea201859a91a6cb70114032878f7da,408.5,424.5,346.3,340,468.5,533.2,475.6,429.6,0
1347,b9f5a1dead337185a7e8d1ed7b23e66bb1ef527a,589.3,596.4,594.7,720,485.5,546.1,513.9,575.4,720
1350,ec12ea01cda3dcf0c6271ea7140c656f4774264b,422.6,549.4,458.8,680,386.7,352.8,445.1,348.7,480
1351,14c81f8ccbbef0ae638bcdbea9f0f81cb92d3588,470.9,651.4,601.3,680,426,422.3,528.3,419.5,480
1353,131010225a14ea18fa1748a59efd6413fc0eb338,469.3,520.1,510.9,280,459.8,630.2,583.9,577.1,660
1354,a2b095e8fed2a3edb2a751b5e1e71336757e278d,426.5,370.2,499.9,560,407.9,452.8,476.5,440.5,600
1355,766e70bac5c7e88381749ba3f140e03132b0858e,415.5,489.3,433.1,360,400.1,464.9,404.3,393.6,440
1356,92f75ecf86b6e027c977162cc4297db8d280b2be,472.3,558.9,515.2,480,474.3,403.1,485.1,377.6,620
1358,a3af6be26868494212d438ddc80ba11e55d7261c,529.3,579,554.9,520,374.6,407.9,514,413.3,500
1361,defb13732108dd8d257e70b84e439d9020576209,492.3,550,573.2,640,418.6,513.8,461.1,465.8,400
1363,8120c2970d5087725caa5d3d87fcfb24155d181b,402.3,379.2,446.6,360,370.9,392.8,452.8,475,380
1364,b12028d5f6ded3e6efdc8a3ab0a397ea5b6973ce,528.9,622.3,586.5,620,469.3,443.5,468.8,375.7,460
1365,95ced045710caddbab17dd0552eed9f15d76b4b8,520,615,631.4,660,465.7,558.5,532,593.8,640
1367,17cafdecd37633480065ba97838ed940156e0a07,469.3,535.3,560.5,640,470.1,591.6,510.9,427.9,800
1371,5f553236d725160fdbff443604199b293f1f44ce,453.1,545.4,529.9,460,475.8,544.5,513.1,396.1,580
1372,869b7dfefe247dfa859db744c33c2678411dd945,533.7,534.7,518.9,600,483,473.4,414.1,393.4,380
1374,c910640a6e6c25b259dfcc4990f2899245e988ca,434.1,457.4,469.8,500,431.2,483.4,494.7,426.8,480
1375,c9210ff822feac437edffb18dda200a8f3ea1a59,514.5,506.7,516.1,600,487.6,464.1,483.5,419.1,500
1376,e18348afecf00cc3d88f3ba48351ce1843f220a0,438,539.5,516,600,613.1,682.7,640.8,474.9,620
1377,5954217e13179b6043acc782e102668a2612a8e4,494.1,477.7,408.7,420,410.4,487.5,514.2,504.2,480
1378,503bbd27536b36d78fcc9d01270dc1561b6b3c5e,381.9,506,533.2,560,523.5,577.5,581.4,558.9,600
1379,1988c28e027eaf2dadcb8d877e3b4aeae6f59a71,476.3,436.4,439.6,480,490.2,437.4,392.5,499.9,480
1382,1cc3c1c17bb9140df54ea70bc5af1fd7c6d8ab36,388.9,600.5,439.8,660,369.8,540.3,577.4,357.7,480
1383,a7275f430267de859f35ff4b68e4a276e5be7279,400.9,524.2,518.6,320,388,517.1,553,445.9,780
1385,b6a3a8134c6800d7c966237626e820f8e4a0ceb8,445.2,559.9,490.5,600,437.4,451.3,521.3,360.2,640
1387,f9c8ad4b150124d24c41211c5292ccc2c16e68e7,504.9,551.2,571.6,540,570.5,523.2,539.7,576.3,300
1388,812dad3abf68e537e7a5f58627c83daea4375233,443.4,509.5,540.3,440,413.2,497.3,502.9,419,480
1390,8b9fea02641babf2396079c6edfed9abb45117bf,413.8,557,561.5,520,447.1,549.5,521.4,371.8,460
1392,d8788a6c3e384b392b77f519451fed79c34453a2,644.2,676.8,663.5,840,542.2,517.1,573.2,487.1,680
1393,1e6d53083bfb60a532c211edc06a3b3122eaa340,476.1,376.3,466.1,500,436.7,532.4,477.8,473.7,500
1395,1db27ec90efad017f1e8e8998389d75f98149663,393.2,536.7,528.9,340,429.4,517.5,517.9,444.1,560
1396,ee22b8c134e9178600d57236685e0822b2034601,592.3,650.3,610,540,485.7,548.3,549.6,568,640
1397,b03c5ebab160571176fd665bad3b559d23d28f4d,543.2,654,649.2,680,507.5,626.3,560.4,538.2,700
1398,018c21da2ea1df6cc5d00ce480c48672c234ddb5,557.4,557.8,590.8,660,426.5,394.2,426.3,410.7,0
1399,5a71e57629eb2d9b1281fa0acf78fc410f82233a,418,438.1,419.2,400,477.4,564.5,516.4,499.1,420
1400,63add5acaf261ef36ff419c5cf3301d8b1a91b06,374,478.3,517.9,440,570,520.6,458,482.5,440
1401,5b7f5fb34de0f846635830319871e2bdd06857b1,478.2,548,473.9,560,550,512.5,516.6,479.7,520
1402,e074b29573906c0b39248900a4d73df3a44cb72f,431.7,502.4,535.8,540,434.2,514.4,441.2,540.4,320
1404,5a8b5ad4914609f0da01a68168f2dcaeb52a1d62,521.5,552.3,465.9,600,564.6,617.2,609.7,645.8,520
1405,6581d33040854c49896098641bd48cca28d0bfb1,450.3,443,469.8,440,389.6,546.9,577.8,502.9,620
1406,aa828fd73ad4d26bb04e4ec3ec3a705c67f546f3,528.1,619.8,574.3,760,500,625,575.6,621.5,620
1409,e5129f4e0fead85906b2b0ef48b253420c85060e,384.9,462.9,497.5,480,519.3,513.4,493.8,420.3,580
1411,64a758225c8fee36cfc6a33f8ce52435bee3f22b,512.6,642.9,601.3,480,411.2,467.7,438.9,416.5,320
1412,7866c1a752ede108330f59479ba22bbe27e24959,409.9,556.6,543.6,420,654.7,677.1,506,705.1,700
1413,e2d2423c2aa3c3191363bccba383a85740b6003a,428.9,530.7,551.8,740,442.3,414,503,521.6,360
1414,e26a4055e714830a051bbd4118cb4e10cfe613f9,408,555.6,479.4,580,388.5,493.2,493.1,403.5,300
1415,a2a35215a2bacc65b551efa3a17f34c5566ba27b,501,366.2,404.9,440,609.3,635.6,595.6,651.8,860
1416,9e53b4840e7a00693adbb1eb46654e76c8309a61,439,579,549.8,560,517.7,615.6,648.9,364.7,340
1418,4665254e0bacb0ecb8a006903b69fa80b51490d5,406.7,592.6,581.2,580,567.4,569.1,555.6,408.9,560
1420,166fb0fa70c428f172f3fcb85eddff4b3ca33545,567.7,560.8,514,600,492.6,570.6,559.3,460.9,520
1423,16ba4511e82380eebd8917142d36a7f2ca28afd9,391.3,420.8,483,480,466.5,482.4,408.1,406.9,420
1428,3e934aed492c97df7bdd037b918beb8dcd3e0cb3,420.7,466.4,482.4,360,494.5,500,472.3,545.8,580
1430,3783d0f562e9914300b98214cbf59c47df628116,417.8,495.8,464.2,360,565.6,576.9,480.6,670.3,800
1431,6259df3d2eb137841e632a56f2f7cca3e3ff4172,483.2,497.1,504.4,600,440.9,526.8,477.2,460.9,500
1432,89b4c8805837e713f9a730c673c222d2fe78bd69,444,403.9,369.4,320,591.2,526.2,614.1,619.2,560
1433,95c02dd69769edcba23a333a45ad4d70e6c0cfbd,594.2,616,632.9,760,413.5,521.3,559.7,404.6,580
1434,4a242ade5a0d370fdb4f53bfc60b00d5f5f1df5e,385.9,506.1,426.8,380,503.9,527.4,513.3,517.2,540
1435,c90b14063cc4b109019cacd40eba1359439a23a8,461.2,445.3,474.6,520,456.7,569.4,581,508.2,600
1437,49412082f17170a1b1a7a0f4811fc3f84cab68d7,404.3,460.9,502.7,480,362.6,540.1,500.9,463.4,740
1438,9f8d3b5c8003823b00814d8650478f4a4123310e,503.3,602,582.9,700,472.3,564.1,466.5,400.8,460
1440,973f904d79c6d3556de58dd6a26972c4d1f519ac,377.8,535.7,513.1,480,406,492.2,512.4,394.9,520
1441,f16b98a557d8b1b061c74d2f7fdc51e9a42adc00,510.9,520.9,560.3,460,543.3,519.5,404.6,509.3,400
1442,236ccca2305d258085cfccd31359d025e8c2ef03,466.7,487.8,499,720,513.3,624.8,606.5,547.8,560
1445,35c68cb7b68131dd4395dbaaceafc098adb26efe,450.8,585.7,575.9,580,491.5,570.6,577.8,535.3,620
1446,72c35c5e9265e22fc9cfacdd50a47adc2fdaa20c,451.4,469.9,493.9,360,450.2,513.1,551.3,591.9,560
1447,39f3b003b013995457d88d0f976e589375ea381c,574.7,584.6,588.3,920,431.5,512.1,526.8,406.6,600
1448,be2efc5d7aac68e406e259efd6a1383b0535d030,457.7,622.1,590.7,720,440.2,531,441.2,453.9,560
1449,05654f1872402567f29cb0dbd2b6a67ca962ba20,385,496.7,470,320,533.9,547.9,571.8,518.8,460
1450,01ef84ddbd815b848e2791e31d1e1fb530af0800,509,506.7,459.5,460,618.3,643,531.2,728.8,560
1452,0347f75702f7a58defa7830fd2160be814ee63d7,440.5,549.9,560.5,440,436,446.9,506.3,427.1,480
1453,e9f4a7e0f743c19594d064f493acc7da5705cb97,552.7,572.6,584.3,520,456,555.7,499.9,417.8,640
1454,cbc361742d9f5471b72c408c86a163a3a0babdde,467.9,416.2,507.8,540,528.3,534.4,467.2,422.4,560
1457,4028ff6efc6f00b3024a6e07394d97b5d05f52d4,439,486.3,403.2,400,513.2,618.8,601.4,569.2,680
1458,b935e46f14ef9cabe4855d768f80a882afc5bbf3,545.9,517.6,547.8,540,519.6,461.2,431.5,467.3,360
1459,dd89be9611dd1e70f883c325c3de4bfd4beddd54,589.9,639.2,613.1,880,421.9,402.7,407.6,440.3,400
1460,7a6f4434324d90047db1434d2218b125200749d1,578.9,574.3,598.3,520,449,380.6,466.9,416.7,380
1461,1fb16f5693c7c8d701c7d6a8b2d2bd497fb576ba,527.2,605.7,506.1,640,412,435.7,552.9,414.3,460
1462,5943b6debfe5b94ae0e6819377ce039b35aa8f5b,623.8,680.7,651.4,660,367.9,456,443.6,541.6,520
1464,53758d4e489f33ad1709258781c0db4fab9b5803,444.9,557,570.4,600,426,472.1,486.4,394.1,480
1466,4d1782421e1635415765058a400cbf70e2efc504,533.2,474.1,537.9,620,472.2,519.2,498.7,475.2,400
1467,8d827fe667c86686d1ad9f7ab6c62b30d3d916e1,510.3,461.5,520.1,440,422.6,494.7,458.4,354.7,420
1469,09985e3d85e82b3a084a6854d96f6eaaab8d8273,418.7,538.9,534.4,560,601.1,592.5,582.7,588,720
1471,52e6e0e10f90361c2ff44016e514330a60be586e,463,396.7,415.4,560,441.2,476.5,399.9,380.9,380
1472,4b9588a9197d26bb43f6bd71dd1a34b598a2c94d,475.2,537.9,557.4,760,448.7,533.2,493.1,363.7,440
1473,4496d0d42a729a789643e669e0f73b068777f1d7,453.5,494.7,418.2,580,393.4,553,501.6,510.8,660
1474,0e62088a0bd61cefe0756a63c5af7132651e9eea,457.2,472.2,392.1,460,419.8,508.2,511.3,360.5,580
1475,cd24a0c4131412a63327491a7f9a33d4d9c4bbb1,429.7,521.6,492.7,640,501.2,600.1,607.5,480.8,600
1476,d6d378efae0f7fc2dcbf94d111a57f9a1706c52f,416.7,473.9,502.5,520,377.4,418.6,451.4,472.4,520
1477,c16dc22c158d28ef77c69463309bd08d7c5b6736,377.3,521.4,471.1,520,407.3,539.4,398.1,450.2,580
1478,62f07fb05c1335d56823a296968f0052ef393852,557.2,568.3,557.3,620,454.1,560.1,458,403.3,480
1479,c921879f4f48c0cc5ba092b03e62973976c85a17,428.6,528,479.6,560,407.5,344.2,496.8,529.9,560
1481,f9503cf91610c5dee9a59c9e20c3b147db7b8f31,552.2,577.4,588.9,620,419,518.8,547.2,478.5,540
1482,fee103a972b59d0ccba0feb8675a40a245112360,416.6,464.2,440.7,400,507.2,511.8,452.3,498.5,580
1483,49aafbfd3dc45435f5e1755a2e0723967d683a6c,603.6,635.4,594.8,560,483.4,565.4,551.1,475.7,680
1486,a12474a6e8f7fa3b7f6a57749d57abf3b0334c01,551.9,636,609.7,860,372.9,471.1,539.4,453.3,680
1487,65b711ff6055c05fb83d01e46da49803d9dab58f,425.8,531.6,608.4,540,583.1,535,570.4,404.7,380
1488,a6edeceb9d45fdd9f131984206250b116b0b94db,607.5,618.9,619.8,580,385.2,510.6,512.5,486.8,440
1490,a3f03a18f80a199f5f7c28e963c139b55d1fdfc9,493,572.8,451.4,480,473.3,600.9,606,451.2,700
1491,0f73a216f0e2a2af8814d6faa530648df17cfe37,426.1,622.3,577.4,500,502.2,487.8,426.9,462.9,240
1492,eca7b9fb647b11d556338ead147b829adeaee4b5,386.3,407.3,467.4,460,487.6,567.5,498.1,575.6,640
1495,9d86872c99e4afc37f1c6b01357a3128f947cd87,502.2,572.1,579.2,400,453.5,467.2,427.6,448.7,480
1496,34e428fff9d5931c622b15ee18951f781dbc571b,404.8,497.2,496.8,580,692.5,601.1,591.7,479.5,640
1497,6b10ac235069fa3fa257149b095e113710721781,426.8,449.2,515.5,560,561.5,569.6,612.9,521.2,620
1498,6dd3df00297de5fc127deb03d1cb76ab9385d496,408.6,535.5,470.1,320,520.7,586.9,470.9,542.3,520
1499,f578deabf3afe98992b136729474b1ed461bd6a3,569.3,580.9,596.9,560,370.1,380.2,455.4,428.6,280
1500,e59a4f0a6af71a8e014026aa7c8dd9a473171aa7,662.8,648.2,671.9,560,487.8,488.8,532.9,432.5,560
1502,e1526ef25f838eeb588fa4f3df0cc514376901e0,525.2,524.9,447.5,400,388.9,582.7,497.9,428.6,420
1503,f2b7d6d8635b65fb4730a3860998148f83cbf92a,447.5,557.8,360.8,420,494.4,544,536.5,462.5,620
1504,05fb2b3c3cb1085375bf04a0c773f1de17a9a939,508,548.6,573.2,540,441.3,414.5,531.3,603.6,440
1505,9943ea95b914e7b37549437fb292ce9608f10d41,534.8,505.2,555.3,640,581.4,587.5,493.5,578.1,560
1506,7d93473c5e877b59586deaaf559da053dbc9a7bc,488.8,556.3,509,520,466.6,517.8,508.4,382.1,600
1507,e65ba317385a51e76379f53a718b43678d468a17,466.8,574.7,463.4,540,643.1,682.9,631.7,691.7,880
1508,cb8a7c0c876d287354b99b4480e0c5fe360583b7,428.6,485.9,532.8,480,438.8,512.4,508.5,533.7,620
1509,259303751b8f314105e5889e30e02c3c1a887c5a,547.6,550.9,592.4,740,412.8,469.5,494.5,459.6,380
1511,62121076b2a2fc75f121ebb3d01af8a0f7b791be,426.2,474.3,523.4,440,478.4,526.1,537.9,424.4,520
1512,c80f7b579f91b8d02382fe242062f2d75f271bb0,432.6,425.4,550.5,420,467.2,602.1,583.8,573.3,500
1513,901027c8d499d895e0022de833e1a05800e0dff9,517.4,421.2,486,420,446.7,536.9,465.2,446.2,520
1514,e63c018e3539baa1a5480a84bc7d83d5dd428c18,434,347.3,393.5,400,596.8,715.7,643.7,708.7,700
1516,07c8954960c4774f911f34fc6ed6ecc80c418b3a,646.9,548.6,602.4,660,480.5,533.1,570.8,517.9,600
1518,addaffc4a499dbafbd55194706f75a50c1359f20,458.9,494.1,507.6,440,461.3,599.8,584.6,613,640
1520,d8d0b37b552dbfb590ffe86600f0b8ea379039ba,469.8,483.5,438.1,580,385.2,502.3,447.1,519,400
1521,6aba74ebcbbdb7b9f2a4483adeb769de06403004,442.8,511.8,552,480,439.3,402.8,454,359.9,0
1522,d3380c010e39f08a398b07639fe9f091f9d6ebad,447.9,532.2,499.3,540,421.8,380.6,439.1,356.7,340
1523,3245e67245c8ca0c162e45db30153c4a3870b113,487,570.7,484.1,720,401.6,529.2,523.9,442.1,520
1525,37b44770511dcfd53cb5b84729e675c0052bec0e,472.1,591.8,570.1,400,434.8,498.1,407.6,368.3,300
1526,ffc2ce905f7ad8cbc5dff0427059c5d6aceaaee9,444.4,466.5,489.2,460,400.3,448.6,482.4,487.8,520
1527,a25f9c0b7ddaa3b3a4de122dac978fc6744f62dc,367.2,494.9,425.1,500,587.8,646,604.2,665.2,640
1528,215e9bbaeb0836ca4aa28d9d05f9bdbb2ce7943a,527.9,505,443.5,480,450.1,453.6,384.6,414.5,0
1529,b64011aecd45ea9d1b33de793e4cda3fce49bd3f,402.7,431.2,377.5,300,459.1,494.3,541.8,414.2,440
1531,27efa149460fd0952df3acd2b9b552baf5fc5dda,488.3,552.2,449.4,500,506.8,617,599.7,412.3,480
1532,3f55d05a38abe559f4e9421ffe4af64cb0a31b3c,599,588.4,562.4,480,397.5,529,524.1,410.3,600
1533,c5501d10debc09cd5ddbf04f39e1cb01334a14b1,460.6,472.7,498.8,380,398.8,435.6,382.3,362.3,360
1534,3dfa7872aa3b128de6e8c5ff5d59b094bcf11834,454.2,503.8,513.4,500,702.7,807,665.3,819.8,920
1535,0654c8263516d72be6891a0ecca904f41c4d10b1,507.5,565.5,582.4,540,487.7,498.7,502,356.9,540
1536,69a4a6042373b49e3abeb16903d90be32f41ed26,388.9,503.7,523.8,480,403.2,515.6,385.3,342.7,480
1539,35e66128c079d902484cba327f1d99d9a50f8e70,385.1,447.8,418.5,480,465.3,563.6,571.7,419,420
1540,24507171dec4cee2f64c8819f2f0c33882138078,558.8,611,583.3,600,506.6,505.6,561,367.2,480
1542,425b9425691ab3a12a19eb8553e6a66340827e6f,671.9,666.5,581.7,720,505,557.4,524.2,506.8,560
1543,331cfb9e53861cd1304a66385b1f91bd844f9ae7,467.3,487.2,497.7,520,447.4,435.6,375,482.6,560
1544,7d20da9fad6951e92128cb96ed65c0274725564c,400.3,503.9,439.1,0,532.1,612.2,553.9,535.5,540
1545,35736d0db390f11f2655ecbdf2f4e0f95913c013,469.9,538.7,524.8,600,390.1,516.7,497.6,449.4,480
1546,b4e3a0b877e12f70ec2fd814a664e3830107615c,418.1,561.5,533.6,500,547.6,610.7,558.2,499,560
1549,cf61d7396561b36044ea119b74c7ea1cc1083895,390,456.3,412.9,400,408.1,554.6,547,565.9,460
1550,5a8c458e9e19e15a59f06d7a86abae6207652e1b,452.1,494.2,512.7,460,416.7,550.6,502.2,459.1,420
1551,aebb3b8c5a61f8e69b773f0a8b3ee65531e24f1f,499.5,555.8,531.2,620,469.5,518.4,484.4,390.2,440
1552,ab91fb38c1472e50f726f6564b128125105c423c,429.8,534.8,402,480,406.5,484.8,609.5,488.6,640
1554,fe6f686f595cce82b0e423d735d93376e1078970,494.9,494.8,537.2,520,510,573.4,612.7,474.5,680
1555,ca929d2fce6afa19a2a44d7324f59b5571504a56,373.6,475.6,373.6,0,610,577.3,511.4,702.5,480
1556,355146e8b44a5170d6be887d4a885381389a88c2,499.9,534.6,513.5,500,516.8,507.9,403.1,357.4,560
1557,b307abb62bc1660ab857080595abca38e67569a5,460.5,545.7,451.6,580,421.2,531,559,567.5,400
1558,00b5f0e8ee64e0b62488691eef2331727aa5a2ce,416.7,487,438.9,540,457.5,592.1,565.2,584,560
1559,daca5f01d4227d57dc02b533dac9aadee17d874a,429.8,471.1,409,440,428.9,493.7,553.1,440.9,560
1560,418d7059d5266d440e6e6d952d1091955e8e096a,702,652.8,655.1,720,512,560.2,498.8,386.7,480
1561,df9964be2c367b2bf7b25d49f5bf047f5a51e4d8,555.2,637.3,650.4,620,626.8,619.3,644,705.5,820
1563,7cfc0106adedbc2997d97ba062c2d73a315735e9,620.7,632.7,593.8,720,528.7,589.7,545.2,406.4,460
1564,0968f25447365f5338e2183ff45e60ac1cbc662b,446.2,532.8,555.5,320,457.9,480.7,389.3,410.3,500
1567,40a8e7f491eef8f056f80ff22b4ec822ab44b257,471,588.9,457.3,480,393.7,522,501.7,440.6,660
1568,6e62c79c0eacb68d25bfe268e57a5c1a0f5f6402,433.5,488,473.9,480,464.3,622.5,587.6,509.9,640
1569,de1775c30a3c0cb59489f59f4b79c11c5eff9e09,442.6,451.7,516.5,420,430.5,495,530.1,479.3,520
1570,3b4b91a764a8cdb63b28c49be5596cce6c591ba8,388.8,530.7,500,520,417.5,438.2,497,386.5,480
1572,3f7db50e487aac041dc7a93dadc63c2b64f35f35,435,442.7,434.8,560,454.9,517.3,476.2,455,580
1573,f6ac8e11a2f46730b6239c8fdac72c089b098a0c,446.2,533.2,352.6,280,442.6,515.1,470.6,493.8,340
1575,564ef83dedb5fc55f4d18dadc833a59be5b66b93,430,448,473.5,340,449.9,553.6,554.3,503.5,540
1578,6eb99d9fcf3725c82dd85000687fea5c87ba5603,552.6,572.7,503.9,420,426.3,581.4,519.4,572.8,700
1579,40b19d0d687b11c151e2e52a1c45cdc228367248,371.4,537.5,538,540,536.7,604.8,608.9,609.9,520
